Team,Rating,PPG,OPPG,TO/Game,3 Pt. %,FT %,Steals/Game,OREB/Game,O Kill Shot?,D Kill Shot?,D Kill Shot (BAD),SOS,Pace of Play,NET Ranking,Normalized Pace,Normalized NET,New Rating,,"Top ""Kill-Shots"" (Account for its interaction with opponent)",,Kill Shots Allowed (Least),,Kill Shots Allowed (Most),,,,,,,
Drake,23.87,80.9,70.9,9.1,0.364,0.746,6.5,7,1,0,0,151,68.7,48,0.538,0.131,23.87,,,,,,,,,,,Colorado,31,20-9
Creighton,23.61,80.9,69.3,10,0.364,0.774,3.9,7.5,1,1,0,22,67.9,11,0.483,0.028,27.61,,,,,,,,,,,Nevada,32,25-6
Colorado,21.35,80.8,72.6,12.8,0.395,0.789,6.2,8.7,0,0,0,83,69.8,31,0.615,0.083,25.35,,,,,,,,,,,Mississippi State,33,19-10
Washington,17.53,80.8,77.2,11.6,0.337,0.716,5.9,8,0,0,0,77,72.3,71,0.790,0.194,17.53,,,,,,,,,,,Saint John's,34,18-12
Tennessee,29.32,80.7,67.2,10.3,0.349,0.747,8,10.7,0,1,0,10,70.5,5,0.664,0.011,33.32,,,,,,,,,,,Texas Tech,35,21-9
Duke,25.56,80.5,67.4,9.7,0.386,0.726,6.5,9.1,0,1,0,75,67.9,9,0.483,0.022,29.56,,,,,,,,,,,Colorado State,36,21-9
Queens,,80.4,#N/A,11.3,0.34,0.706,7.1,9.4,0,0,0,201,73.4,267,0.867,0.739,#N/A,,,,,,,,,,,Florida Atlantic,37,22-7
UNC Asheville,19.64,80.3,73.7,11.8,0.374,0.743,5.8,8.1,0,0,0,235,69.7,150,0.608,0.414,19.64,,,,,,,,,,,Utah State,38,24-5
Northern Colorado,18.35,80.3,77.8,10.8,0.352,0.724,6.3,7.8,0,0,0,318,69.9,179,0.622,0.494,18.35,,,,,,,,,,,Washington State,39,23-7
TCU,24.04,80.3,70.5,12.4,0.353,0.727,9.1,10.7,1,0,1,25,70.8,40,0.685,0.108,24.04,,,,,,,,,,,TCU,40,19-10
Charleston,21.04,80.3,73.2,9.8,0.338,0.714,5.8,11.8,0,0,0,275,70,103,0.629,0.283,21.04,,,,,,,,,,,Wake Forest,41,18-12
Western Kentucky,17.15,80.2,74.4,13.6,0.337,0.713,7.1,9.1,0,0,0,326,75.3,148,1.000,0.408,17.15,,,,,,,,,,,Oklahoma,42,20-10
Grand Canyon,23.18,80.1,67.5,12.1,0.345,0.744,8.1,10.5,1,0,0,262,69.2,56,0.573,0.153,23.18,,,,,,,,,,,Nebraska,43,21-9
Troy,23.06,80,70.2,13,0.349,0.738,10.2,11.5,0,0,0,278,70.8,136,0.685,0.375,23.06,,,,,,,,,,,Pittsburgh,44,20-10
Memphis,19.78,80,75,13,0.348,0.721,8.8,10.5,0,1,0,103,72.2,72,0.783,0.197,19.78,,,,,,,,,,,Cincinnati,45,17-13
McNeese State,30.78,79.8,61,9.1,0.382,0.688,10.6,9.9,1,0,0,321,66.9,58,0.413,0.158,30.78,,,,,,,,,,,Utah,46,18-11
Arkansas State,17.78,79.8,77.5,11.1,0.354,0.705,5.4,11.1,0,0,0,181,70.6,157,0.671,0.433,17.78,,,,,,,,,,,South Carolina,47,24-5
Toledo,21.19,79.8,77,10.2,0.375,0.751,7.3,8.6,0,0,0,205,70.6,133,0.671,0.367,21.19,,,,,,,,,,,Drake,48,25-6
Furman,18.34,79.7,75.5,11.8,0.326,0.727,7.1,9.5,0,0,0,209,69.6,147,0.601,0.406,18.34,,,,,,,,,,,Virginia,49,21-9
Eastern Washington,18.14,79.6,73.8,13.1,0.372,0.758,5.9,7.1,0,0,0,160,70.5,132,0.664,0.364,18.14,,,,,,,,,,,SMU,50,19-10
Utah State,20.89,79.5,69.4,11.2,0.327,0.72,6.7,8.1,0,1,0,87,69.3,38,0.580,0.103,20.89,,,,,,,,,,,Princeton,51,23-3
Marquette,28.19,79.5,68.6,10.1,0.355,0.72,9,8.2,1,0,0,11,69.9,14,0.622,0.036,32.19,,,,,,,,,,,Northwestern,52,20-9
Arkansas Pine Bluff,14.79,79.5,81.2,13.3,0.369,0.758,5.9,7,0,0,0,192,72.6,328,0.811,0.908,14.79,,,,,,,,,,,James Madison,53,28-3
Wake Forest,23.22,79.1,69.7,10.4,0.374,0.802,5.7,7.3,0,0,0,68,69.1,41,0.566,0.111,23.22,,,,,,,,,,,Virginia Tech,54,17-13
San Francisco,25.31,79,66,11,0.356,0.764,8.6,8.9,0,1,0,129,68.3,63,0.510,0.172,25.31,,,,,,,,,,,Texas A&M,55,16-13
Lamar,19.07,79,74.1,12.4,0.354,0.728,7,11.2,0,0,0,315,70.5,,0.664,-0.003,19.07,,,,,,,,,,,Grand Canyon,56,26-4
Umass,21.37,78.9,71,10.8,0.316,0.701,8.1,11.5,0,0,0,167,69.8,85,0.615,0.233,21.37,,,,,,,,,,,Iowa,57,18-12
Albany,16.61,78.8,78.9,12.9,0.33,0.719,8.4,10,0,0,0,271,74.7,,0.958,-0.003,16.61,,,,,,,,,,,McNeese State,58,27-3
Chattanooga,20.65,78.6,71.3,11.2,0.359,0.746,6.5,8,1,0,0,234,68.3,142,0.510,0.392,20.65,,,,,,,,,,,Ohio State,59,18-12
Appalachian State,22.01,78.6,66.4,10.3,0.334,0.667,6.5,10.3,0,0,0,282,68.8,69,0.545,0.189,22.01,,,,,,,,,,,Bradley,60,21-10
UMBC,12.87,78.6,80.6,13.3,0.364,0.684,5,8.3,0,0,0,311,74.6,285,0.951,0.789,12.87,,,,,,,,,,,Xavier,61,15-14
Milwaukee,15.39,78.5,78.8,12.5,0.328,0.72,6,12.1,0,0,0,272,70,232,0.629,0.642,15.39,,,,,,,,,,,Providence,62,19-11
Winthrop,18.45,78.5,71.8,12.2,0.341,0.703,6.4,9.4,0,0,0,202,68.3,172,0.510,0.475,18.45,,,,,,,,,,,San Francisco,63,22-9
Quinnipiac,20.37,78.4,73.5,12.2,0.352,0.781,7.8,9.9,0,0,0,344,72,170,0.769,0.469,20.37,,,,,,,,,,,Oregon,64,19-10
LBSU,17.29,78.4,75.4,12.9,0.311,0.705,8.5,10.5,0,0,0,220,72.3,168,0.790,0.464,17.29,,,,,,,,,,,UCF,65,15-13
Clemson,21.76,78.4,70.8,10,0.363,0.781,4.4,8.3,0,1,0,43,67.8,24,0.476,0.064,25.76,,,,,,,,,,,Butler,66,17-13
Bryant,17.10,78.3,75.6,11.4,0.335,0.675,7,7.1,0,0,0,178,75.3,166,1.000,0.458,17.10,,,,,,,,,,,Seton Hall,67,18-11
Ohio,22.20,78,71.6,9.3,0.361,0.728,6.7,8.6,0,0,0,348,67.7,149,0.469,0.411,22.20,,,,,,,,,,,St. Bonaventure,68,18-10
UTSA,15.10,78,81.7,10.8,0.336,0.709,5.2,11.3,0,0,0,166,71.2,259,0.713,0.717,15.10,,,,,,,,,,,Appalachian State,69,26-5
