Team,Rating,PPG,OPPG,TO/Game,3 Pt. %,FT %,Steals/Game,OREB/Game,O Kill Shot?,D Kill Shot?,D Kill Shot (BAD),SOS,Pace of Play,NET Ranking,Normalized Pace,Normalized NET,New Rating,,"Top ""Kill-Shots"" (Account for its interaction with opponent)",,Kill Shots Allowed (Least),,Kill Shots Allowed (Most),,,,,,,
Pittsburgh,22.67,74.6,67.1,9,0.347,0.701,6.4,10.6,0,1,0,79,67.1,44,0.427,0.119,22.67,,,,,,,,,,,Purdue Fort Wayne,152,21-11
Bowling Green,16.89,74.6,71.7,10.9,0.295,0.695,6.6,9.8,0,0,0,350,69,235,0.559,0.650,16.89,,,,,,,,,,,St. Thomas (MN),153,19-12
New Orleans,14.25,74.6,80.4,11.6,0.307,0.711,7.8,9.4,0,0,0,232,72.6,343,0.811,0.950,14.25,,,,,,,,,,,South Dakota State,154,19-12
Seattle,#N/A,74.6,#N/A,12.3,0.348,0.718,5.9,8.8,0,0,0,249,,123,-4.266,0.339,#N/A,,,,,,,,,,,Missouri State,155,16-15
Saint Marys,26.04,74.6,58.1,9.4,0.348,0.687,6.7,11.8,1,0,0,108,63.1,18,0.147,0.047,26.04,,,,,,,,,,,Towson,156,18-13
Norfolk St.,20.95,74.5,68.1,11.8,0.336,0.729,8.8,10,0,0,0,290,67.4,233,0.448,0.644,20.95,,,,,,,,,,,Arkansas State,157,16-15
Michigan State,26.20,74.4,66,9.4,0.367,0.7,7.1,8.6,0,1,0,12,67.1,22,0.427,0.058,30.20,,,,,,,,,,,Missouri,158,22-Aug
Cincinnati,19.46,74.4,67.9,11.9,0.325,0.685,6.2,12.4,0,0,1,31,68.5,45,0.524,0.122,19.46,,,,,,,,,,,Murray State,159,19-Dec
Gardner-Webb,15.97,74.3,73.6,10.9,0.338,0.635,5.9,9.8,0,0,0,162,69.7,181,0.608,0.500,15.97,,,,,,,,,,,Oregon State,160,17-Dec
Oral Roberts,17.90,74.3,75.8,9.5,0.364,0.74,5.6,6.6,0,0,0,217,68.8,277,0.545,0.767,17.90,,,,,,,,,,,Sam Houston,161,18-11
Niagara,18.24,74.3,72.8,10.9,0.371,0.77,5.5,6.7,0,0,0,338,68.4,257,0.517,0.711,18.24,,,,,,,,,,,Lipscomb,162,20-12
UNLV,20.29,74.2,68.4,10.1,0.332,0.72,6.3,9,0,0,0,86,65.2,77,0.294,0.211,20.29,,,,,,,,,,,Fairfield,163,18-11
USC,17.15,74.2,73.1,12.2,0.351,0.68,7.1,9.1,0,0,1,59,69.4,97,0.587,0.267,17.15,,,,,,,,,,,Delaware,164,18-13
Northwestern,24.46,74.2,69,8.5,0.39,0.745,7.1,7.6,0,0,1,50,65.1,52,0.287,0.142,24.46,,,,,,,,,,,Wyoming,165,14-16
Wisconsin,28.65,74.2,68.9,9.5,0.339,0.764,5.8,8.8,0,1,0,5,65.4,23,0.308,0.061,27.05,,,,,,,,,,,Bryant,166,19-12
Saint Louis,15.37,74.2,78.9,11.8,0.369,0.745,6.1,7.5,0,0,0,94,69.9,218,0.622,0.603,15.37,,,,,,,,,,,Hawaii,167,17-13
Virginia Tech,20.03,74.1,70.4,10.9,0.352,0.798,5.1,6.5,0,0,0,26,67.8,54,0.476,0.147,20.03,,,,,,,,,,,LBSU,168,18-12
Delaware,18.52,74.1,69.9,10.2,0.339,0.702,5.7,8.2,0,0,0,295,67.3,164,0.441,0.453,18.52,,,,,,,,,,,Utah Valley,169,14-15
Bethune-Cookman,#N/A,74.1,73.6,13.8,0.313,0.751,10.8,9.2,0,0,0,#N/A,71,307,0.699,0.850,#N/A,,,,,,,,,,,Quinnipiac,170,21-8
St. Bonaventure,#N/A,74.1,67.5,10.5,0.372,0.774,6.5,8.6,0,0,0,#N/A,66.1,68,0.357,0.186,#N/A,,,,,,,,,,,SFA,171,15-14
Nicholls St.,#N/A,74.1,#N/A,12.5,0.364,0.723,6.9,7.9,0,0,0,#N/A,,,-4.266,-0.003,#N/A,,,,,,,,,,,Winthrop,172,17-14
Ohio State,20.30,74.1,69.9,9.8,0.333,0.764,5.5,9.6,0,0,0,62,66.5,59,0.385,0.161,20.30,,,,,,,,,,,Wofford,173,17-14
Sacred Heart,19.22,74,72.3,11.5,0.36,0.695,8.9,7.9,0,0,0,353,70.9,283,0.692,0.783,19.22,,,,,,,,,,,Texas A&M-CC,174,20-10
Dayton,23.59,74,64.6,9.1,0.393,0.73,5.4,7.1,0,0,0,89,64.3,21,0.231,0.056,23.59,,,,,,,,,,,Kent State,175,15-15
Houston,32.48,73.9,56.2,8.1,0.342,0.688,10.4,13,1,1,0,20,64.3,1,0.231,0.000,32.48,,,,,,,,,,,Illinois State,176,15-16
South Alabama,17.16,73.9,75.9,10.6,0.348,0.746,6.8,6.6,0,0,0,236,69.5,243,0.594,0.672,17.16,,,,,,,,,,,Longwood,177,18-13
Providence,18.45,73.8,69.1,11.9,0.333,0.705,6.6,8,0,0,1,39,68.7,62,0.538,0.169,18.45,,,,,,,,,,,UC Davis,178,17-12
Loyola-Chicago,18.29,73.8,67.6,12.5,0.357,0.693,6.7,7.5,0,0,0,117,69.9,91,0.622,0.250,18.29,,,,,,,,,,,Northern Colorado,179,19-12
La Salle,18.67,73.8,74,9.4,0.345,0.721,6.4,7.9,0,0,0,142,67.9,195,0.483,0.539,18.67,,,,,,,,,,,Fordham,180,17-Dec
Elon,16.40,73.7,75.7,11.1,0.358,0.714,6.2,8.7,0,0,0,261,67.6,309,0.462,0.856,16.40,,,,,,,,,,,Gardner-Webb,181,16-15
Rider,16.76,73.7,74.3,12.3,0.343,0.752,6.8,10.4,0,0,0,195,69,223,0.559,0.617,16.76,,,,,,,,,,,UIC,182,20-Nov
FIU,16.28,73.7,76.3,13.3,0.331,0.675,10.7,9.1,0,0,0,222,71.7,297,0.748,0.822,16.28,,,,,,,,,,,Northern Kentucky,183,17-14
Coastal Carolina,11.35,73.7,78.5,12.9,0.317,0.654,5.8,10.3,0,0,0,270,71.2,318,0.713,0.881,11.35,,,,,,,,,,,Saint Peter's,184,16-11
Montana State,18.40,73.6,73.2,11.4,0.356,0.735,8.3,5.8,0,0,0,304,69,238,0.559,0.658,18.40,,,,,,,,,,,CBU,185,15-14
Northern Kentucky,17.67,73.6,71.4,12.2,0.313,0.719,8.6,8.8,0,0,0,224,68.6,183,0.531,0.506,17.67,,,,,,,,,,,East Carolina,186,14-15
Marshall,14.47,73.5,76.5,11.9,0.302,0.714,6.9,10.3,0,0,0,185,72.4,251,0.797,0.694,14.47,,,,,,,,,,,LMU,187,18-Dec
Ball St.,18.40,73.5,70.5,11.5,0.372,0.763,5.5,7.9,0,0,0,339,67.2,260,0.434,0.719,18.40,,,,,,,,,,,Little Rock,188,20-11
Penn,17.83,73.5,72.8,10.8,0.366,0.69,6,9.2,0,0,0,105,66.1,200,0.357,0.553,17.83,,,,,,,,,,,Marist,189,16-11
Richmond,24.17,73.4,65.8,7.9,0.369,0.735,7,5.1,0,0,0,127,67.9,70,0.483,0.192,24.17,,,,,,,,,,,Iona,190,14-15
N. Illinois,#N/A,73.4,#N/A,12.3,0.328,0.679,5.4,8.6,0,0,0,155,69.1,,0.566,-0.003,#N/A,,,,,,,,,,,Monmouth,191,17-14
Hampton,13.27,73.3,76.7,12.6,0.323,0.708,6,10,0,0,0,340,70,336,0.629,0.931,13.27,,,,,,,,,,,UCSB,192,15-13
Incarnate Word,#N/A,73.3,#N/A,15.1,0.336,0.736,6.1,9.4,0,0,0,334,71.8,,0.755,-0.003,#N/A,,,,,,,,,,,UTEP,193,15-15
Robert Morris,13.07,73.3,75.5,13.3,0.335,0.719,5,11.3,0,0,0,265,68.6,305,0.531,0.844,13.07,,,,,,,,,,,Stony Brook,194,17-14
Rhode Island,12.73,73.3,77,12.3,0.358,0.646,4.9,8.8,0,0,0,101,69.2,210,0.573,0.581,12.73,,,,,,,,,,,La Salle,195,15-15
Lehigh,16.88,73.2,71.2,11.7,0.318,0.736,7,7.3,0,0,0,279,69.8,274,0.615,0.758,16.88,,,,,,,,,,,Merrimack,196,19-11
Southern,#N/A,73.2,#N/A,13.1,0.324,0.675,9.7,8.9,0,0,0,#N/A,70.1,,0.636,-0.003,#N/A,,,,,,,,,,,Tulsa,197,15-14
Northern Iowa,15.70,73.1,77.9,10,0.346,0.702,6.2,6.8,0,0,0,102,67.4,,0.448,-0.003,15.70,,,,,,,,,,,Jacksonville State,198,14-16
UTEP,18.56,73,69.8,13.8,0.31,0.687,11.8,9.4,0,0,0,255,70.1,193,0.636,0.533,18.56,,,,,,,,,,,ETSU,199,16-15
Pepperdine,16.18,73,75.6,10.4,0.362,0.698,5.1,9,0,0,0,97,68.5,245,0.524,0.678,16.18,,,,,,,,,,,Penn,200,17-Nov
Texas A&M,22.03,73,70.4,9.4,0.267,0.7,7.1,15.6,0,1,0,13,66.6,55,0.392,0.150,22.03,,,,,,,,,,,UT Martin,201,21-10
Seton Hall,20.41,73,69.5,12.1,0.314,0.771,7.5,11.1,0,0,0,21,67.1,67,0.427,0.183,20.41,,,,,,,,,,,Harvard,202,14-13
Austin Peay,21.56,73,71,8.4,0.368,0.677,7.4,9.5,0,0,0,281,64.8,220,0.266,0.608,21.56,,,,,,,,,,,Georgetown,203,21-Sep
Tennessee State,16.60,73,70.7,12.5,0.332,0.753,6.4,8.4,0,0,0,314,69.1,284,0.566,0.786,16.60,,,,,,,,,,,Evansville,204,15-16
Abilene Christian,16.49,72.9,74.2,12.1,0.333,0.73,7.9,8.3,0,0,0,214,71.4,231,0.727,0.639,16.49,,,,,,,,,,,Brown,205,17-Nov
St. Thomas-Minnesota,#N/A,72.9,#N/A,8.7,0.352,0.734,6.3,6.4,0,0,0,#N/A,,,-4.266,-0.003,#N/A,,,,,,,,,,,Cleveland State,206,19-13
Le Moyne,#N/A,72.9,#N/A,10.5,0.342,0.751,8.1,7.4,0,0,0,352,68.7,306,0.538,0.847,#N/A,,,,,,,,,,,George Washington,207,14-15
Indiana,14.76,72.9,75,11.4,0.318,0.653,5,7.8,0,0,1,19,69.4,101,0.587,0.278,14.76,,,,,,,,,,,Stetson,208,20-12
Iona,21.00,72.9,71.4,9.7,0.351,0.657,9.5,9.9,0,0,0,294,69,190,0.559,0.525,21.00,,,,,,,,,,,Georgia State,209,14-16
San Diego,14.25,72.9,77.5,12.9,0.348,0.737,6.9,8.3,0,0,0,128,72.1,255,0.776,0.706,14.25,,,,,,,,,,,Rhode Island,210,18-Nov
Tarleton State,#N/A,72.9,#N/A,10.6,0.331,0.747,9.1,9.6,0,0,0,153,67.8,134,0.476,0.369,#N/A,,,,,,,,,,,Fresno State,211,18-Nov
Radford,18.76,72.8,71.8,10.2,0.373,0.738,5.6,8,0,0,0,186,65.4,236,0.308,0.653,18.76,,,,,,,,,,,Lamar University,212,17-13
Rice,15.02,72.8,75.2,11.3,0.337,0.694,5.6,9.5,0,0,0,104,68.1,237,0.497,0.656,15.02,,,,,,,,,,,Columbia,213,13-13
Vermont,22.42,72.8,62.9,8.5,0.343,0.724,5.4,6.7,0,0,0,269,65.7,98,0.329,0.269,22.42,,,,,,,,,,,Temple,214,18-Nov
Wyoming,14.26,72.8,75.9,12.9,0.368,0.741,5.1,7.7,0,0,0,64,67.5,165,0.455,0.456,14.26,,,,,,,,,,,Louisville,215,22-Aug
Morgan St.,11.07,72.8,78.3,14.3,0.302,0.755,6.3,9.7,0,0,0,200,71.1,339,0.706,0.939,11.07,,,,,,,,,,,Green Bay,216,18-13
Hawaii,16.15,72.7,69,11.5,0.337,0.71,4.8,7.1,0,0,0,268,67.2,167,0.434,0.461,16.15,,,,,,,,,,,Eastern Kentucky,217,17-14
Kansas State,15.56,72.6,69.8,14.2,0.315,0.732,6.2,10,0,0,1,32,68.7,78,0.538,0.214,15.56,,,,,,,,,,,Saint Louis,218,19-Nov
George Mason,18.66,72.6,67.5,11.5,0.351,0.751,5.3,8.8,0,0,0,124,65.2,99,0.294,0.272,18.66,,,,,,,,,,,Maine,219,15-16
Evansville,16.37,72.6,73.8,11.2,0.35,0.719,6.4,6.5,0,0,0,115,69.7,204,0.608,0.564,16.37,,,,,,,,,,,Austin Peay,220,18-14
Southern Illinois,19.47,72.6,67.2,10.7,0.348,0.762,5.6,7,0,0,0,154,65.5,113,0.315,0.311,19.47,,,,,,,,,,,Vanderbilt,221,21-Aug
Monmouth,19.25,72.6,72.5,10,0.356,0.702,7.3,9.8,0,0,0,196,68.5,191,0.524,0.528,19.25,,,,,,,,,,,Mercer,222,15-16
Stony Brook,18.18,72.5,72.7,9.9,0.343,0.734,6.2,8.4,0,0,0,183,67.8,194,0.476,0.536,18.18,,,,,,,,,,,Rider,223,14-16
Georgia Southern,12.99,72.4,79.5,12.9,0.348,0.721,6.9,8.7,0,0,0,188,69.8,290,0.615,0.803,12.99,,,,,,,,,,,CSUF,224,14-16
Mount Saint Marys,15.11,72.4,71.1,14,0.337,0.728,7.1,8.8,0,0,0,333,,,-4.266,-0.003,15.11,,,,,,,,,,,Miami (OH),225,15-15
Texas-RGV,#N/A,72.4,#N/A,14.2,0.293,0.701,8.3,8.4,0,0,0,#N/A,,,-4.266,-0.003,#N/A,,,,,,,,,,,CSUN,226,18-13
Central Connecticut,#N/A,72.3,66.6,11,0.316,0.717,7.8,8.7,0,0,0,#N/A,67.6,234,0.462,0.647,#N/A,,,,,,,,,,,Texas State,227,15-17
VCU,20.36,72.3,66.3,11.6,0.36,0.793,6.1,8.1,0,0,0,109,66.3,81,0.371,0.222,20.36,,,,,,,,,,,Mount St. Mary's,228,13-17
Drexel,19.25,72.2,66,10.4,0.339,0.72,5,10.2,0,0,0,250,65.6,122,0.322,0.336,19.25,,,,,,,,,,,Southern Miss.,229,16-15
Miami (OH),17.93,72.2,70,11.2,0.375,0.712,6,6.9,0,0,0,277,67.3,225,0.441,0.622,17.93,,,,,,,,,,,Kansas City,230,16-15
Wichita State,14.62,72.2,72.9,12.4,0.316,0.694,6.4,9.8,0,0,0,120,69.7,151,0.608,0.417,14.62,,,,,,,,,,,Abilene Christian,231,14-15
Central Florida,20.68,72.1,66.9,11.6,0.319,0.707,8.9,10.7,0,0,0,52,69.4,,0.587,-0.003,20.68,,,,,,,,,,,Milwaukee,232,18-14
SIU-Edwardsville,#N/A,72.1,#N/A,10,0.339,0.718,6.9,9.3,0,0,0,#N/A,,,-4.266,-0.003,#N/A,,,,,,,,,,,Norfolk St.,233,20-10
Missouri State,13.66,72.1,72.8,11.7,0.317,0.706,4.3,9,0,0,0,135,68.3,155,0.510,0.428,13.66,,,,,,,,,,,Central Connecticut,234,19-10
LMU,#N/A,72.1,#N/A,10.1,0.361,0.734,3.7,8.9,0,0,0,112,66.3,187,0.371,0.517,#N/A,,,,,,,,,,,Bowling Green,235,18-12
Louisville,11.94,72.1,78.8,12.2,0.3,0.741,5.3,8.9,0,0,0,58,70.4,215,0.657,0.594,11.94,,,,,,,,,,,Radford,236,15-16
Missouri,18.27,72,75.2,10.8,0.324,0.79,7.6,7.6,0,0,1,34,68.2,158,0.503,0.436,18.27,,,,,,,,,,,Rice,237,18-Nov
Portland State,17.14,72,71.8,10.8,0.33,0.695,6.9,9.4,0,0,0,302,68.9,246,0.552,0.681,17.14,,,,,,,,,,,Montana State,238,14-17
Oklahoma State,16.38,72,71.8,12.4,0.344,0.691,6.3,8,0,0,0,29,68.1,121,0.497,0.333,16.38,,,,,,,,,,,North Dakota,239,18-13
Central Ark.,14.38,71.9,78.1,12.3,0.34,0.741,7.2,9.8,0,0,0,327,70.4,342,0.657,0.947,14.38,,,,,,,,,,,Southern Utah,240,17-12
UMKC,#N/A,71.9,#N/A,11.2,0.34,0.701,6.1,10.1,0,0,0,#N/A,67.2,,0.434,-0.003,#N/A,,,,,,,,,,,San Jose State,241,21-Sep
Villanova,23.89,71.9,65.6,8.9,0.335,0.816,5.9,7.6,0,0,1,23,64.3,25,0.231,0.067,23.89,,,,,,,,,,,New Hampshire,242,15-14
Canisius,13.76,71.8,73.3,12.8,0.351,0.638,6,10.5,0,0,0,257,68.3,264,0.510,0.731,13.76,,,,,,,,,,,South Alabama,243,16-15
Portland,10.28,71.8,80.7,12.2,0.339,0.714,4.3,6.8,0,0,0,111,68.8,304,0.545,0.842,10.28,,,,,,,,,,,Northeastern,244,19-Dec
Fordham,15.60,71.8,73.2,12.6,0.322,0.663,8.3,11.2,0,0,0,144,69.5,180,0.594,0.497,15.60,,,,,,,,,,,Pepperdine,245,19-Dec
South Carolina,20.15,71.8,65.2,9.6,0.341,0.715,4.7,9.5,0,0,0,81,64.8,47,0.266,0.128,20.15,,,,,,,,,,,Portland State,246,17-14
Binghamton,13.19,71.7,72,11.5,0.289,0.674,4.9,9.7,0,0,0,240,68.3,270,0.510,0.747,13.19,,,,,,,,,,,UC Riverside,247,13-17
Duquesne,19.10,71.7,67.7,11.5,0.335,0.707,7.5,9.6,0,0,0,95,67.3,92,0.441,0.253,19.10,,,,,,,,,,,FGCU,248,14-18
Texas A&M-CC,#N/A,71.7,#N/A,11.1,0.323,0.707,8,7.5,0,0,0,207,68.4,174,0.517,0.481,#N/A,,,,,,,,,,,North Florida,249,16-16
Sam Houston,#N/A,71.6,#N/A,12.9,0.35,0.725,6.9,10.2,0,0,0,193,68.9,161,0.552,0.444,#N/A,,,,,,,,,,,Western Ill.,250,20-11
Colgate,21.17,71.5,63.5,10.2,0.371,0.685,6.4,7.4,1,0,0,244,66.1,131,0.357,0.361,21.17,,,,,,,,,,,Marshall,251,19-Dec
USC-Upstate,14.81,71.4,74.8,11.1,0.336,0.648,7.3,7.3,0,0,0,241,,,-4.266,-0.003,14.81,,,,,,,,,,,CSUB,252,13-17
Campbell,15.98,71.4,71.8,11.4,0.338,0.722,6.4,6.6,0,0,0,303,66.3,296,0.371,0.819,15.98,,,,,,,,,,,North Alabama,253,15-16
Jacksonville,15.13,71.2,72.1,13.1,0.317,0.694,7.9,10.9,0,0,0,239,67.4,273,0.448,0.756,15.13,,,,,,,,,,,Idaho State,254,19-Dec
Houston Christian,#N/A,71.2,#N/A,15.5,0.306,0.642,5.7,10.2,0,0,0,156,73.3,358,0.860,0.992,#N/A,,,,,,,,,,,San Diego,255,17-14
Western Mich.,12.36,71.2,74.3,12.8,0.344,0.62,5.6,10.8,0,0,0,280,68.2,295,0.503,0.817,12.36,,,,,,,,,,,UAlbany,256,13-18
FGCU,#N/A,71,#N/A,10.4,0.354,0.697,5.9,9,0,0,0,248,65.3,248,0.301,0.686,#N/A,,,,,,,,,,,Niagara,257,14-14
Temple,17.81,71,72.8,9.9,0.303,0.729,7.6,10.1,0,0,0,133,67.8,214,0.476,0.592,17.81,,,,,,,,,,,North Dakota St.,258,15-16
Illinois Chicago,#N/A,71,#N/A,12.1,0.374,0.692,5.9,7.2,0,0,0,#N/A,,,-4.266,-0.003,#N/A,,,,,,,,,,,UTSA,259,19-Nov
Delaware St.,14.49,71,71.4,14,0.32,0.7,8.1,9.7,0,0,0,319,70.6,308,0.671,0.853,14.49,,,,,,,,,,,Ball St.,260,15-15
Harvard,15.91,71,71.2,11.2,0.333,0.707,5.9,8,0,0,0,147,67.7,202,0.469,0.558,15.91,,,,,,,,,,,Central Mich.,261,17-13
South Carolina St.,12.74,70.9,75.8,14.3,0.32,0.688,7.9,12.9,0,0,0,228,69.7,289,0.608,0.800,12.74,,,,,,,,,,,The Citadel,262,20-Nov
Mercer,16.47,70.8,71.7,11,0.338,0.669,6.9,9.7,0,0,0,204,67.6,222,0.462,0.614,16.47,,,,,,,,,,,Kennesaw St.,263,15-16
Georgetown,14.70,70.8,77.2,11.5,0.339,0.724,5.6,10.7,0,0,0,36,67.4,203,0.448,0.561,14.70,,,,,,,,,,,Canisius,264,16-Dec
Davidson,19.84,70.8,67,9.6,0.32,0.735,6.5,8.3,0,0,0,93,65.6,108,0.322,0.297,19.84,,,,,,,,,,,N.C. Central,265,16-12
Jackson State,13.92,70.8,75.6,13,0.33,0.703,7.6,10.6,0,0,0,210,70.5,286,0.664,0.792,13.92,,,,,,,,,,,Nicholls,266,17-13
Georgia Tech,13.40,70.7,75.2,11.6,0.327,0.7,4.5,10.2,0,0,0,47,68.5,124,0.524,0.342,13.40,,,,,,,,,,,Queens,267,14-19
UC Davis,16.71,70.7,67.8,13.6,0.331,0.73,8,8.7,0,0,0,297,67.7,178,0.469,0.492,16.71,,,,,,,,,,,Southern Utah,268,20-Sep
Murray State,18.28,70.7,69.6,9.2,0.326,0.695,6.1,8,0,0,0,114,65.5,159,0.315,0.439,18.28,,,,,,,,,,,Denver,269,15-16
San Jose State,15.12,70.6,74.9,10.1,0.351,0.69,5.3,6.9,0,0,0,90,66,241,0.350,0.667,15.12,,,,,,,,,,,Binghamton,270,15-14
Southern Miss. St.,16.02,70.5,70.7,12.2,0.333,0.705,7.2,9.1,0,0,0,258,,,-4.266,-0.003,16.02,,,,,,,,,,,Air Force,271,20-Sep
Alcorn St.,#N/A,70.5,#N/A,10.8,0.337,0.7,7.3,9.4,0,0,0,136,68.1,,0.497,-0.003,#N/A,,,,,,,,,,,Omaha,272,14-17
Northwestern St.,12.38,70.5,76,12.7,0.322,0.665,6.9,9.7,0,0,0,216,69,329,0.559,0.911,12.38,,,,,,,,,,,Jacksonville,273,16-16
Jacksonville State,17.49,70.4,65.6,12.7,0.327,0.713,7,10.1,0,0,0,274,66.1,198,0.357,0.547,17.49,,,,,,,,,,,Lehigh,274,17-Dec
ETSU,#N/A,70.3,#N/A,11.4,0.298,0.694,7.4,12.3,0,0,0,177,,199,-4.266,0.550,#N/A,,,,,,,,,,,American,275,16-15
Old Dominion,15.04,70.2,76,10.4,0.32,0.662,7.9,8.5,0,0,0,191,71,298,0.699,0.825,15.04,,,,,,,,,,,Howard,276,15-15
The Citadel,15.46,70.1,70.4,11.3,0.329,0.712,5.7,7.9,0,0,0,215,66.2,262,0.364,0.725,15.46,,,,,,,,,,,Oral Roberts,277,18-Nov
Arizona State,16.33,70.1,73.7,10.1,0.309,0.66,8.2,7,0,0,0,54,70.9,125,0.692,0.344,16.33,,,,,,,,,,,Southeastern La.,278,15-15
Utah Tech,#N/A,70,#N/A,15.3,0.342,0.644,6.5,8.3,0,0,0,168,71.4,281,0.727,0.778,#N/A,,,,,,,,,,,Presbyterian,279,14-17
Northeastern,14.89,70,72.2,12.2,0.324,0.754,6.3,8.6,0,0,0,226,65.8,244,0.336,0.675,14.89,,,,,,,,,,,SIUE,280,16-15
Prairie View A&M,#N/A,69.9,#N/A,12,0.303,0.725,9.3,8.4,0,0,0,#N/A,71.7,,0.748,-0.003,#N/A,,,,,,,,,,,Utah Tech,281,19-Oct
Brown,14.43,69.9,71.8,11.6,0.329,0.646,6.2,10.3,0,0,0,187,67.3,205,0.441,0.567,14.43,,,,,,,,,,,Texas Southern,282,13-15
Louisiana Monroe,#N/A,69.9,#N/A,12.2,0.298,0.665,7.2,11.1,0,0,0,#N/A,,,-4.266,-0.003,#N/A,,,,,,,,,,,Sacred Heart,283,16-15
Idaho State,16.63,69.9,69.5,11,0.332,0.683,6.8,8.5,0,0,0,310,64,254,0.210,0.703,16.63,,,,,,,,,,,Tennessee State,284,17-14
Southeastern Louisiana,#N/A,69.6,70.6,13.3,0.351,0.734,6.9,9.3,0,0,0,#N/A,66.3,,0.371,-0.003,#N/A,,,,,,,,,,,UMBC,285,20-Nov
Alabama St.,17.46,69.6,69.9,11,0.275,0.716,8.7,12,0,0,0,176,70.5,312,0.664,0.864,17.46,,,,,,,,,,,Jackson State,286,13-16
UC Riverside,16.78,69.6,71.4,9.3,0.311,0.719,5.4,10.6,0,0,0,163,67.3,247,0.441,0.683,16.78,,,,,,,,,,,Alcorn,287,17-Dec
William & Mary,14.37,69.5,72.6,10.3,0.314,0.714,4.8,9.1,0,0,0,330,67,326,0.420,0.903,14.37,,,,,,,,,,,New Mexico St.,288,18-Dec
Idaho,16.54,69.5,70.8,10.6,0.335,0.729,5.8,9.5,0,0,0,293,65.7,319,0.329,0.883,16.54,,,,,,,,,,,South Carolina St.,289,14-16
Merrimack,#N/A,69.4,#N/A,12.5,0.301,0.714,10.3,6.8,0,0,0,#N/A,,196,-4.266,0.542,#N/A,,,,,,,,,,,Georgia Southern,290,23-Aug
Eastern Illi.,19.78,69.4,67.9,9.8,0.315,0.733,8.1,9.3,0,0,0,206,67.6,,0.462,-0.003,19.78,,,,,,,,,,,Boston U.,291,15-16
West Virginia,14.81,69.4,75.1,12,0.342,0.717,4.5,8.1,0,0,0,14,68.5,143,0.524,0.394,14.81,,,,,,,,,,,Bucknell,292,13-18
Maryland,18.06,69.3,64.4,11.2,0.282,0.719,6.4,10.9,0,0,0,53,66.3,73,0.371,0.200,18.06,,,,,,,,,,,Grambling,293,16-13
Western Illinois,15.34,69.2,65.4,12.2,0.325,0.621,5.3,12.9,0,0,0,289,65.6,,0.322,-0.003,15.34,,,,,,,,,,,Middle Tenn.,294,13-17
Virginia Military,#N/A,69.2,#N/A,15.2,0.316,0.696,5.6,8.2,0,0,0,#N/A,,,-4.266,-0.003,#N/A,,,,,,,,,,,Western Mich.,295,19-Nov
American University,#N/A,69.2,#N/A,10.1,0.36,0.717,5.9,7.9,0,0,0,#N/A,,,-4.266,-0.003,#N/A,,,,,,,,,,,Campbell,296,14-17
East Carolina,18.73,69.1,68.3,10.2,0.312,0.698,8.1,10.3,0,0,0,170,65.4,186,0.308,0.514,18.73,,,,,,,,,,,FIU,297,19-Oct
Chicago St.,16.13,69.1,70.2,12.8,0.316,0.708,8.7,10.5,0,0,0,189,66.6,301,0.392,0.833,16.13,,,,,,,,,,,Old Dominion,298,25-Jul
Charlotte,19.47,69.1,65.3,9.1,0.323,0.748,5.5,7,0,0,0,116,63,110,0.140,0.303,19.47,,,,,,,,,,,Valparaiso,299,24-Jul
Utah Valley,14.72,69,68.4,12.1,0.288,0.683,7.1,8.8,0,0,0,157,69.1,169,0.566,0.467,14.72,,,,,,,,,,,USC Upstate,300,19-Oct
Southern Ind.,#N/A,68.9,#N/A,12.6,0.329,0.745,6.2,8.8,0,0,0,#N/A,69.8,330,0.615,0.914,#N/A,,,,,,,,,,,Chicago St.,301,18-Dec
Alabama A&M,7.95,68.9,78,15.8,0.286,0.713,7.6,9.5,0,0,0,305,72.2,333,0.783,0.922,7.95,,,,,,,,,,,NIU,302,20-Oct
Oregon State,14.16,68.9,72.4,12,0.325,0.735,6,7.2,0,0,0,73,66.2,160,0.364,0.442,14.16,,,,,,,,,,,ULM,303,19-Nov
Bellarmine,#N/A,68.8,#N/A,9.2,0.34,0.779,5.4,6.3,0,0,0,180,66.4,317,0.378,0.878,#N/A,,,,,,,,,,,Portland,304,20-Nov
CSUB,#N/A,68.8,#N/A,11.4,0.301,0.722,7.1,10.5,0,0,0,#N/A,,252,-4.266,0.697,#N/A,,,,,,,,,,,Robert Morris,305,22-Oct
Texas Southern,14.67,68.5,70.5,12.3,0.307,0.707,7.2,9.7,0,0,0,159,69.4,282,0.587,0.781,14.67,,,,,,,,,,,Le Moyne,306,14-16
Green Bay,15.64,68.5,67.4,11,0.339,0.725,4.4,7.4,0,0,0,256,64.4,216,0.238,0.597,15.64,,,,,,,,,,,Bethune-Cookman,307,15-15
Texas State,14.81,68.5,69.7,12.6,0.324,0.69,7,9.6,0,0,0,134,68.4,227,0.517,0.628,14.81,,,,,,,,,,,Delaware St.,308,13-16
NAU,10.28,68.3,76.5,12.4,0.312,0.696,5.8,6.7,0,0,0,219,69.5,314,0.594,0.869,10.28,,,,,,,,,,,Elon,309,13-18
Fresno State,13.15,68.2,72.9,11.9,0.336,0.669,6.2,6.9,0,0,0,84,65.7,211,0.329,0.583,13.15,,,,,,,,,,,Eastern Ill.,310,14-17
